Country,first_seq,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Mozambique,2020-08-22,2021-06-22,ORF1a.S3675,2021-04-22,304,False,0.0117073170731707,8381.590538336051,98.12593800978792,289.13408998629654
Angola,2020-08-25,2021-08-28,ORF1a.S3675,2021-04-25,368,False,0.0253191444168312,4832.476592032567,122.35417272462924,115.48678073619747
Zimbabwe,2020-09-01,2021-07-26,ORF1a.S3675,2021-05-02,328,False,0.0317477787561034,15848.880345987503,503.1667467563671,184.1775423071998
Serbia,2020-09-28,2021-07-13,ORF1a.S3675,2021-05-29,288,False,0.0098577343371244,81143.9652173913,799.895652173913,2874.422131408344
Sweden,2020-10-08,2021-10-12,ORF1a.S3675,2021-06-08,369,False,0.0128669495325813,140765.30872260025,1811.2201232719272,3245.887306897983
Kenya,2020-10-09,2021-09-23,ORF1a.S3675,2021-06-09,349,False,0.0203694357524982,23179.43524416136,472.152016985138,557.6536977444715
Romania,2020-10-11,2021-09-23,ORF1a.S3675,2021-06-11,347,False,0.0306603431769142,80628.98998643582,2472.112502992101,2687.295458098221
Brazil,2020-10-13,2021-11-25,ORF1a.S3675,2021-06-13,408,False,0.0278266273150839,2967780.859498592,82583.33193010681,49031.88180448519
France,2020-10-18,2021-11-22,ORF1a.S3675,2021-06-18,400,False,0.0158873950419832,7853647.606704182,124774.00204823528,191854.0222600216
Ireland,2020-10-28,2021-09-15,ORF1a.S3675,2021-06-28,322,False,0.0140461932348282,32921.126686459465,462.4165069462713,901.197149594646
Ghana,2020-10-30,2021-08-05,ORF1a.S3675,2021-06-30,279,False,0.0080237518086325,13387.343858431645,107.41672449687717,221.1035644587302
Switzerland,2020-11-02,2021-11-07,ORF1a.S3675,2021-07-03,370,False,0.0127038715595089,67485.23294206396,857.3237314595244,1528.8355936146556
Slovenia,2020-11-02,2021-08-17,ORF1a.S3675,2021-07-03,288,False,0.0169325144000855,21097.413281682348,357.2322541966427,784.898353915603
Luxembourg,2020-11-06,2021-08-12,ORF1a.S3675,2021-07-07,279,False,0.0110939700851834,7983.955093936154,88.57375897357568,165.6794247557821
Argentina,2020-11-08,2021-11-15,ORF1a.S3675,2021-07-09,372,False,0.0219043748265314,969868.4753154536,21244.362615746293,13545.580464564957
Russia,2020-11-09,2021-09-29,ORF1a.S3675,2021-07-10,324,False,0.0274744116585842,236073.31311861743,6485.975386226761,15095.556621397232
